Supplier_ID,Quality_Score,Delivery_Rating,Cost_Competitiveness,Financial_Health,Technical_Capacity,ESG_Compliance,ERP_Integration,Track_Record
SUP-365,7.7,9.2,3.7,6.7,8.1,7.8,5.9,4.8
SUP-366,6.2,6.2,7.9,9.3,5.9,10.0,5.4,10.0
SUP-367,7.5,7.3,4.5,6.9,6.6,8.0,7.0,4.9
SUP-368,7.2,6.1,4.6,5.5,6.3,8.7,9.0,6.1
SUP-369,7.5,6.7,6.7,6.2,8.0,8.9,6.7,4.7
SUP-370,6.8,5.0,7.0,9.0,8.1,8.6,8.0,6.4
SUP-371,6.9,6.9,6.8,7.3,6.3,8.4,4.4,2.5
SUP-372,7.3,9.5,5.4,6.8,7.8,7.3,6.7,4.9
SUP-373,8.5,7.8,4.4,7.7,6.4,10.0,4.9,3.8
SUP-374,8.1,6.8,3.9,8.1,7.5,10.0,4.3,6.3
SUP-375,10.0,10.0,2.2,8.8,10.0,6.8,5.4,8.0
SUP-376,6.7,5.6,5.2,9.2,5.8,7.5,8.3,7.3
SUP-377,8.0,7.6,5.3,7.1,7.1,8.2,7.9,1.3
SUP-378,7.4,8.3,5.8,5.9,6.7,7.5,6.9,10.0
SUP-379,10.0,9.4,5.2,7.0,10.0,9.0,4.2,6.6
SUP-380,6.4,7.6,7.5,7.8,6.2,7.8,6.2,4.4
SUP-381,7.0,6.4,5.7,6.3,4.8,10.0,7.0,6.3
SUP-382,5.8,5.6,4.8,6.4,3.7,9.7,6.8,6.4
SUP-383,3.6,6.0,9.4,7.9,3.0,8.7,3.7,4.7
SUP-384,6.7,5.6,6.9,7.4,7.2,9.5,5.2,6.4
SUP-385,6.2,6.6,6.6,7.5,3.5,9.6,6.4,4.8
SUP-386,8.1,7.5,5.3,6.6,7.6,7.9,7.3,5.2
SUP-387,7.8,8.8,6.2,7.2,7.3,7.7,3.2,4.6
SUP-388,9.6,10.0,3.2,6.4,10.0,8.6,6.3,3.1
SUP-389,8.7,8.5,5.2,8.6,8.3,9.4,6.7,6.3
SUP-390,6.7,5.4,6.4,8.7,7.1,8.6,7.8,7.2
SUP-391,6.1,6.1,6.2,5.3,6.2,6.9,7.5,7.0
SUP-392,8.0,7.1,5.2,6.4,5.9,7.7,7.4,7.6
SUP-393,5.6,7.0,7.7,5.7,6.3,8.4,5.3,6.6
SUP-394,10.0,9.9,3.8,6.7,10.0,8.4,3.6,4.9
SUP-395,9.5,8.4,4.5,7.4,10.0,10.0,5.9,7.7
SUP-396,6.6,6.5,6.6,5.8,10.0,7.1,8.0,3.3
SUP-397,4.3,3.1,7.9,6.4,2.3,9.0,8.6,4.2
SUP-398,9.1,8.1,2.6,6.3,10.0,10.0,7.6,4.1
SUP-399,7.4,8.0,5.3,7.7,7.1,10.0,7.1,8.2
SUP-400,8.4,8.2,4.7,7.6,8.7,8.1,7.1,7.9
SUP-401,4.8,3.6,6.8,6.6,4.7,9.0,5.7,7.0
SUP-402,5.9,6.6,6.8,7.7,5.5,9.1,6.3,8.1
SUP-403,7.0,8.2,4.6,6.8,6.5,8.7,9.0,4.2
SUP-404,7.7,7.8,5.3,7.2,8.0,8.4,5.1,6.7
SUP-405,6.4,7.3,6.4,9.5,4.9,8.9,8.9,5.7
SUP-406,8.0,7.2,4.6,9.1,8.7,6.0,6.0,7.7
SUP-407,4.7,4.0,8.5,5.9,4.3,9.2,8.5,5.8
SUP-408,7.2,8.3,7.0,8.5,6.0,8.6,4.4,5.2
SUP-409,7.5,6.9,6.8,8.5,7.1,8.3,7.4,7.1
SUP-410,8.9,7.5,5.0,6.1,10.0,10.0,5.4,7.8
SUP-411,7.9,9.4,3.2,8.5,7.4,7.8,4.4,4.7
SUP-412,5.4,5.9,4.8,9.3,5.8,8.1,6.8,5.9
SUP-413,4.8,5.2,6.8,6.2,4.1,10.0,8.0,3.9
SUP-414,9.7,10.0,3.8,6.4,10.0,7.7,5.2,1.0
SUP-415,7.5,6.9,7.2,8.7,8.1,7.9,4.3,6.4
SUP-416,6.0,6.8,7.1,7.8,7.9,8.4,6.4,7.2
SUP-417,9.6,9.4,4.8,8.2,9.5,9.3,6.4,6.5
SUP-418,7.3,7.4,6.2,7.9,7.9,8.7,7.3,2.1
SUP-419,8.5,10.0,4.6,8.0,8.6,7.2,7.9,5.3
SUP-420,7.2,7.6,6.1,5.9,8.5,8.0,6.4,1.6
SUP-421,10.0,10.0,5.5,8.8,9.3,7.9,9.3,8.7
SUP-422,9.1,10.0,3.0,8.9,9.9,8.4,6.8,3.8
SUP-423,6.7,6.3,7.1,7.2,6.5,8.9,6.0,8.5
SUP-424,8.1,7.6,4.4,7.4,8.0,8.9,4.1,7.9
SUP-425,8.6,6.9,2.9,5.7,8.7,6.7,6.1,4.2
SUP-426,8.3,7.1,5.1,8.1,8.5,9.6,6.0,3.7
SUP-427,5.3,7.6,9.4,8.2,5.2,8.8,7.9,6.7
SUP-428,8.2,6.9,5.3,7.4,8.4,9.9,7.2,4.3
SUP-429,9.4,8.4,3.5,8.8,10.0,8.9,4.7,6.2
SUP-430,4.3,4.1,5.8,7.1,5.3,9.6,6.8,5.0
SUP-431,4.9,5.5,8.3,8.2,5.8,9.0,7.5,2.4
SUP-432,4.9,4.8,7.5,6.3,4.4,9.8,8.8,1.5
SUP-433,5.9,7.5,6.5,7.5,5.0,9.0,7.8,6.5
SUP-434,7.0,7.5,5.0,7.3,7.9,8.4,7.6,4.9
SUP-435,9.5,9.1,1.4,7.8,10.0,10.0,6.6,4.9
SUP-436,6.9,7.4,7.2,7.1,8.3,9.4,7.1,7.4
SUP-437,8.9,9.2,3.7,7.3,8.3,9.1,8.4,8.3
SUP-438,5.3,6.5,6.8,8.5,5.1,7.2,4.5,5.5
SUP-439,4.6,4.9,6.6,7.0,2.9,7.2,6.0,5.3
SUP-440,6.6,7.7,5.7,5.6,6.2,8.8,5.3,7.0
SUP-441,6.9,8.2,5.0,9.6,7.9,8.6,7.1,3.3
SUP-442,7.4,8.1,6.2,9.2,6.9,7.9,8.3,6.4
SUP-443,4.2,4.1,7.8,5.9,4.9,8.6,5.6,7.1
SUP-444,6.8,5.6,6.2,8.3,6.6,10.0,2.9,7.4
SUP-445,6.0,5.4,6.6,6.9,6.3,9.2,5.9,2.1
SUP-446,7.5,7.4,5.4,7.8,6.3,7.4,7.9,4.5
SUP-447,6.8,7.0,5.0,7.9,6.9,8.4,7.3,4.2
SUP-448,5.2,6.2,6.8,7.2,2.3,7.7,7.1,6.2
SUP-449,6.2,7.5,5.2,6.6,6.0,8.1,6.1,7.0
SUP-450,5.5,5.4,7.0,6.7,3.9,8.1,4.6,9.0
SUP-451,6.8,7.2,7.6,6.4,8.0,8.0,7.3,5.0
SUP-452,8.6,10.0,3.4,6.5,9.4,7.2,5.2,5.0
SUP-453,4.9,5.8,7.8,7.4,5.4,8.4,9.8,8.3
SUP-454,8.5,10.0,5.8,6.6,10.0,7.9,7.4,6.6
SUP-455,6.2,6.8,6.9,8.3,5.2,5.6,5.6,8.5
SUP-456,6.4,4.0,5.3,9.3,8.1,10.0,5.6,6.6
SUP-457,7.0,7.6,8.0,6.8,7.9,9.6,6.4,3.7
SUP-458,5.7,5.8,3.8,7.8,5.4,8.1,6.1,3.3
SUP-459,6.5,7.5,5.3,8.1,7.6,8.5,8.2,2.9
SUP-460,5.4,5.9,6.9,8.1,4.3,7.3,6.8,7.3
SUP-461,10.0,9.8,3.6,7.6,9.2,10.0,5.4,8.4
SUP-462,7.7,5.8,5.4,8.4,7.1,10.0,9.3,9.7
SUP-463,6.0,5.7,6.0,8.1,5.5,8.7,6.6,7.7
SUP-464,7.7,6.5,4.9,6.0,6.6,9.5,7.7,8.3
SUP-465,6.8,6.3,5.3,8.5,8.0,8.7,5.6,4.8
SUP-466,7.4,7.3,5.9,8.6,7.1,7.2,7.0,3.7
SUP-467,7.6,9.6,5.3,6.6,7.9,8.1,7.0,7.7
SUP-468,9.0,8.5,5.0,7.5,8.5,8.6,3.7,6.8
SUP-469,6.2,5.0,6.5,8.3,4.4,8.0,9.5,6.2
SUP-470,5.4,6.6,5.3,7.2,5.7,8.3,8.4,6.8
SUP-471,6.7,7.8,5.5,8.8,4.7,8.4,5.9,6.6
SUP-472,3.2,2.9,10.0,10.0,3.1,8.4,4.8,8.6
SUP-473,5.1,4.6,6.8,6.6,3.8,8.6,7.0,8.6
SUP-474,8.7,9.1,4.0,5.8,10.0,7.4,6.6,7.1
SUP-475,9.2,8.7,3.9,7.9,10.0,7.8,7.0,7.7
SUP-476,5.7,7.3,6.4,8.4,5.8,7.2,6.8,7.0
SUP-477,7.6,7.7,4.0,7.2,8.9,9.5,7.3,5.1
SUP-478,6.3,7.9,4.5,9.2,5.4,6.4,8.7,7.5
SUP-479,9.2,9.1,4.3,5.9,9.8,9.7,7.4,3.2
SUP-480,9.1,8.2,4.1,8.3,9.3,9.9,4.9,8.1
SUP-481,7.2,7.5,6.9,6.8,7.5,8.2,8.5,3.6
SUP-482,5.8,5.2,8.2,9.6,7.1,5.9,9.0,6.6
SUP-483,4.1,6.3,8.2,9.9,4.8,8.1,10.0,4.3
SUP-484,7.3,6.9,4.7,6.6,7.6,8.4,4.8,7.1
SUP-485,5.9,6.1,5.6,6.8,4.2,7.5,6.9,5.9
SUP-486,4.3,5.8,6.8,8.5,3.3,8.0,3.4,2.8
SUP-487,6.8,4.6,5.8,7.0,6.7,10.0,7.3,6.8
SUP-488,5.8,3.6,6.5,7.4,5.9,9.2,5.7,4.8
SUP-489,9.4,8.0,4.5,7.5,8.3,7.6,9.4,7.8
SUP-490,8.3,9.6,4.3,5.2,10.0,6.9,5.3,6.0
SUP-491,7.1,6.4,5.0,7.5,8.6,8.2,4.0,6.8
SUP-492,8.2,10.0,3.3,6.7,8.8,8.3,5.8,4.1
SUP-493,7.0,6.6,4.5,6.9,7.1,9.0,3.5,4.8
SUP-494,5.4,5.9,6.0,9.2,5.2,8.0,7.6,5.1
SUP-495,8.8,10.0,3.7,6.0,7.8,9.0,3.4,7.7
SUP-496,7.7,9.8,4.1,8.5,7.7,10.0,6.5,9.4
SUP-497,6.3,7.5,6.9,7.2,6.6,9.3,3.4,4.4
SUP-498,7.0,7.9,6.8,7.2,5.8,8.5,6.0,8.2
SUP-499,5.4,6.7,6.9,8.4,5.7,8.3,9.0,1.7
SUP-500,5.2,5.5,8.1,7.9,5.1,8.1,7.0,3.6
